path,text,document_id,label
imagesa/a/a/a/aaa06d00/50486482-6482.tif,['tests research elsevier vr structural proteins human respiratory coronavirus oc brenda hogue david brian department mitroatology umuerslty tennessee knows itv rj accepted publication february summary human respiratory coronavirus oc grown human rectal tumor cell line isotopically labeled amino acids glucosamine orthophos phate analyze virion structural proteins four major protein species resolved electrophoresis many properties deduced digestion studies using proteolytic enzymes four proteins kda protein presumed peplomeric protein glycosylated proteolytically cleavable trypsin subunits kda subunits represent different amino acid sequence basis peptide mapping kda protein glycosylated behaved disulfide linked dimer kda molecules apparent virion hemagglutinin basis digestion studies trypsin bromelain promise kda nucleocapsid protein phosphorylated kda matrix protein glycosylated kda species therefore designated respectively exist molar ratios calculated present rate molecules per virion respectively human respiratory coronavirus oc structural proteins introduction coronavirus estimated cause approximately upper respiratory disease humans larsen ct al mcintosh et al human respiratory coronavirus found either one two antigenic types related human coronavirus oc viruses could originally grown tracheal organ culture related human coronavirus viruses could elsevier science publishers biomedical di'],aaa06d00,6
imagesa/a/a/a/aaa08d00/2072197187.tif,['ar thu rk public relations fax thursday march denver post wdliamdeaosingleton chairman ryan mckihben publisher chfeflxecutive officer denny en editor executive vp jeanette chavez associate editor denver eo brien editaroftheeditorialpage king macdonald executive vp generalmanager post frederick anderson vpflnance james eanman vphumen resources thomas botelho vpmarkelkep founded frank dixon vpoperenons stevehesse vpp rculatlon ntenj waller advertised iny costs clean air matter resident clinton defending unorthodox political fund raising techniques said made necessary stop last year republican juggernaut calling bob dole campaign pres ident juggernaut overpowering de structure force suggests press dent suffered short term memory loss worse believes ameri cans become loopy ii clinton would like see real powering destructive force work might want drop environ mental protection agency see impose new clean air standards ozone particulates al knight ad ozone parti late matter rules urge epa reaffirm current standards conduct additional monitor particulate matter air low states complete action ambitious clean air standards already place embark entirely new costly undertake epa panic schedule sentiments coming demo would make proposed new standards cats easily dismissed race final late june despite fact kings people care agency solemnly said could environment make sound legally defensible eci simple fact epa sions timetable accounting costs ozone tuesday last day public regulation far outstrips health comment standards benefits might produced tjtgepa fully enforced would throw hundreds string course network esa mrm communities nonattalnment status hera yo better fine colorado association commerce fine agency interfere industry one organizations dissemination information file comments said proposed new ought part public de standards would put metro denver bate office management bud nonattainment particulates get clinton administration done case existing standards analysis showa wildly compounds denver vtol whack costs epa tion number years addition blocked publication caci projects garfield route sum film es epa says analysis mit archuleta san miguel weld would damaging agency counties would violation epa effort issue new standards count counties including residents else inner circles unable meet particulate standards clinton administration one agency uua wrs aueaesra ra ewuuarua reached point absurdity biggest outrage act even counties little human genetic basis new standard par density meet new benchmarks stimulate less mtcrons size thankfully number groups shaky scientific advisory committees jecting example five prominent split standards democrats senate including data current levels parti robert byrd west virginia john clef lacking incomplete com glenn ohio chuck robb virginia manitie clear whether output written strong letter epa allies newly found essentially asking agency call nonattainmeot could ever get implementation new standards al regulator thumb clinton together still hunters atop juggernauts live concluded begin aiowjag hfa epa director nlfleant aneerfalnty surrounding costs knaht fs polar pout pommel wnerw win benefits impacts epa papal er get suppress information another'],aaa08d00,9
imagesa/a/a/a/aaa09e00/2029372116.tif,['covington burr ling pennsylvania avenue wv box washington te le phon employer identification account date philip morris management corpora cover professional consulting services south carolina voc results pr ceb co apr ii apr qz please return one copy payniient'],aaa09e00,11
imagesa/a/a/a/aaa10c00/2085133627a.tif,['chaikin karen chaikin karen sent tuesday november pm hayes kim subject please ring large envelope hand tim amendment thanks kc youth smoking prevention'],aaa10c00,2
imagesa/a/a/a/aaa11d00/515558347+-8348.tif,['vt rr elle also'],aaa11d00,3
imagesa/a/a/a/aaa22d00/600803.tif,['addition extreme importance brown idyllic media department post keyes gardner receive every issue without browfd williamson ad position checking flow chart also attached indicating schedule brand issue date allocating cover positions brands assume hear regarding positions franchises within ten working days receipt letter concur understanding questions regarding either one important documents please call appreciate efforts made facilitate work handling account advertising effectiveness publication hope long standing mutually rewarding relationship publication client agency aft rdelstein associate media director ae ld cc mr ii brooks recycled paper produced web site dear phil oe tivo psychology today michigan avenue chicago illinois kool fact november attention philip davis recycled paper letter accompanying materials confirm discussions order schedule psychology today magazine behalf client brown williamson tobacco corporation run calendar year schedule consist page four color insertions plus one cover franchised allocated follows produced web site killed mustard flon lulu laadan tjontteal paris rome paulo sydney tokyo toronto meeting september agency discussed following matters position point scores low averaging points loo king higher average said review bonus point situation make recommendations agency writing seeking back covers first option next back cover available time sure familiar position requirements based magazine rating system convenience attaching copy system specifically applies publication read carefully questions concerns please contact someone america soon possible'],aaa22d00,0
imagesa/a/a/a/aaa22f00/24010929.tif,['gs va va vc ly nas ng jn tobacco instill te check check date amount street northwest pr washington dc sol pay dollars totheorderof rtt tt oh lsa also detach depositing receipt required tobaccoinstitute ja oi street northwest washington dc ct tim ns visit ii jj li tiilbc tobacco institute inc'],aaa22f00,10
imagesa/a/a/a/aaa24e00/2028456950_2028456951.tif,['res arch devi content ch neuchatel switzeri id ter office cor founded dee confident lopes date july hausermann doc name subject project bath visit drs wi andijeanneret burrus district tion copies douglas jarrah diseases gains marcovitch caution information contained memo given persons working listed jieopard size actions outlined respectively proposed wednesday july visit drs wild jeanneret burrus sole purpose visit discussionlof issues related barclay context suv forthcoming wg meeting sept showed publishedlan unpublished papers plan submit next meeting gave copies told mr badstuber idea already put mr lopes contact upon return possible intend work also one areas planned dr jeanneret replace mr rigaux next wg meeting mr rigaux unavailable professional reasons stairs tc suv group mr rigaux shall leave presidency next plenary meeting contacts made rjr either cologne eds dagmarsellen bteemtsma gaussian order encourage join swiss group iso carbon monoxide standard recommended swiss group accept proposal iso secretariat linger elevate draft international standard international standard following reasons advanced significant proposals corrections amendments submitted member bodies consolidated another prior adoption final standards since need discussion expert level secretariat based refusal accept italy comments erroneous grounds stating method applicable vapour phase cigarette smoke cigarettes underlined mah wrong since iso draft french version mentions last line ca cul de la center en monoxide de carbone par cigarette underlined mah absolutely urgency matter one country sweden requires co numbers cigarettes would nonsensical push standard whose application based two machine smoking standards still edition revised strongly recommended thatcher members contacted matter particular italy revision two iso standards based zurrer letter switzerland could well introduce request revise standards dr wild mr burrus explore mr writer action proposed swiss group mr ri gaux please spread information abbreviated iso procedure dr williams enthusiastic procedure volunteered explore mr zurrer asked prepare action plan discuss us takingiany action idea propose swiss group adoption iso standard combination german din conform channel ventil aged cigarettes swiss standard send suv lopes requested contact dr wild matter august keep strictly confidential hausermann tra afi qc jl cac cd air fr ai st gi'],aaa24e00,15
imagesa/a/a/a/aaa31d00/517950672+-0672.tif,['jr fam rw brand marketing advertising materials approvals description use originator approvals manager marketing director law department initials comments li vice president brand marketing new brands senior vice president appropriate executive vice president appropriate approval requirements advertising comp advertising legal stats return completed form originator originator routing'],aaa31d00,1
imagesa/a/a/a/aaa35c00/2505135996_5998.tif,['report met tpm parameter unit cadmium ng mg chromium nickel lead arsenic table amounts calculated tpm basis remarks number determinations least single value ql therefore median given user disk ac met tpm lis report met cig parameter unit tpm mg cig tar cadmium ng cig chromium nickel lead arsenic table yields cigarette basis remarks number determinations tpm tar yields study least single value ql therefore median given user disk ac met cig lis report met tar parameter unit cadmium ng mg chromium nickel lead arsenic table amounts calculated tar basis remarks number determinations least single value ql therefore median given user disk ac met tar lis'],aaa35c00,5
